FECHA_CORTE,REGION,DEPARTAMENTO,MUNICIPIO,CATEGORIA_DEPARTAMENTO,CATEGORIA_MUNICIPIO,ORGANIZACION,TIPO_ORGANIZACION,AUTORIZO_TRATAMIENTO_DATOS,FECHA_ASESORIA,GENERO,INVERSION_TOTAL_PROYECTO,META_VIGENCIA,FECHA_VIGENCIA
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,CAPARRAPI,ESP,6,I E D RUFINO CUERVO,PUBLICA,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,CHIPAQUE,ESP,6,ALCALDIA MUNICIPAL,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,CHIPAQUE,ESP,6,ALCALDIA MUNICIPAL,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,SURA,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,ZIPAQUIRA,ESP,2,ITC SOLUCIONES TECNOLOGICAS SAS,PRIVADA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,BOLIVAR,CARTAGENA,1,ESP,AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN PACÍFICO,VALLE DEL CAUCA,CALI,ESP,ESP,GOBERNACION DEL VALLE,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN PACÍFICO,VALLE DEL CAUCA,CALI,ESP,ESP,GOBERNACION DEL VALLE,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,MOSQUERA,ESP,1,SECRETARIA DE CULTURA,PUBLICA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,CAPARRAPI,ESP,6,IED SANCARLOS,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,BOLIVAR,MOMPOS,1,6,ALCALDIA DISTRITAL DE SANTA CRUZ DE MOMPOX,PUBLICA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,ATLANTICO,BARRANQUILLA,1,ESP,CDA PAPIROS PARK,PRIVADA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,BOLIVAR,CARTAGENA,1,ESP,UNIDAD ADMINISTRATIVA ESPECIAL MIGRACION COLOMBIA,PUBLICA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,MEDELLIN,ESP,ESP,ICBF,PUBLICA,NO,19/02/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,MEDELLIN,ESP,ESP,ICBF,PUBLICA,NO,19/02/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,ISNTITUTO UNIVERSITARIO DE LA PAZ,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,NORTE DE SANTANDER,OCAÑA,2,4,GOBERNACION DEL NORTE DE SANTANDER,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,VIGIA DEL FUERTE,ESP,6,TCS SOLUTION CENTER,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,TURBO,ESP,4,CONTRATISTA ECOLOGO,PUBLICA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,RISARALDA,PEREIRA,2,1,SECRETARÌA DE DESARROLLO ECONÒMICO Y COMPETITIVIDAD,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,CORDOBA,MONTELIBANO,2,6,NO REGISTRA,PENDIENTE CLASIFICAR,NO,19/02/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,GUATAVITA,ESP,6,ALCALDIA GUATAVITA,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN PACÍFICO,VALLE DEL CAUCA,YUMBO,ESP,1,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,CORDOBA,SAN ANTERO,2,6,ALCALDIA DE SAN ANTERO,PUBLICA,NO,19/02/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN EJE CAFETERO,CALDAS,LA DORADA,2,4,COMFACUNDI,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,CORDOBA,MONTERIA,2,1,URRA SA,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,SANDRA MILENA PIMIENTO VARGAS,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,MEDELLIN,ESP,ESP,CONSULTORIA,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN PACÍFICO,VALLE DEL CAUCA,CALI,ESP,ESP,ACUAVALLE SA ESP,PRIVADA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,SUCRE,SINCELEJO,3,2,MINTRABAJO,PUBLICA,NO,19/02/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,NORTE DE SANTANDER,PAMPLONA,2,6,MINISTERIO DE LAS TICS,PUBLICA,NO,19/02/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CARIBE,CORDOBA,CERETE,2,6,NO REGISTRA,PENDIENTE CLASIFICAR,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,CORDOBA,CERETE,2,6,NO REGISTRA,PENDIENTE CLASIFICAR,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,CORDOBA,CERETE,2,6,NO REGISTRA,PENDIENTE CLASIFICAR,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,CORDOBA,CERETE,2,6,NO REGISTRA,PENDIENTE CLASIFICAR,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,CORDOBA,CERETE,2,6,NO REGISTRA,PENDIENTE CLASIFICAR,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,SENA CASA,PUBLICA,NO,19/02/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,FUSAGASUGA,ESP,2,,PENDIENTE CLASIFICAR,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,FUSAGASUGA,ESP,2,,PENDIENTE CLASIFICAR,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,EMPRESAS PUBLICAS DE ARMENIA,PUBLICA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,EMPRESAS PUBLICAS DE ARMENIA,PUBLICA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ARMENIA,ESP,6,COMFENALCO QUINDIO,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,NORTE DE SANTANDER,CUCUTA,2,1,INSTITUTO TECNICO MARIA INMACULADA,PRIVADA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,ALBAN,ESP,6,ALCALDIA MUNICIPAL,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,CAJICA,ESP,2,EMPLEADO,PRIVADA,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,VILLAPINZON,ESP,6,MUNICIPIO DE VILLAPINZON,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO SUR,TOLIMA,ESPINAL,2,3,,PENDIENTE CLASIFICAR,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO SUR,TOLIMA,ESPINAL,2,3,,PENDIENTE CLASIFICAR,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CARIBE,LA GUAJIRA,RIOHACHA,4,4,GOBERNACION DE LA GUAJIRA,PUBLICA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,LA GUAJIRA,RIOHACHA,4,4,GOBERNACION DE LA GUAJIRA,PUBLICA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,ATLANTICO,BARRANQUILLA,1,ESP,SCOTIABANK COLPATRIA,PRIVADA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,MINISTERIO DE TRABAJO,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,MINISTERIO DE TRABAJO,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,MINISTERIO DE TRABAJO,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,MINISTERIO DE TRABAJO,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,MINISTERIO DE TRABAJO,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,MINISTERIO DE TRABAJO,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,MINISTERIO DE TRABAJO,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOYACA,SOGAMOSO,1,2,GOBERNACION DE BOYACA,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOYACA,SOGAMOSO,1,2,GOBERNACION DE BOYACA,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,BARBOSA,ESP,4,SENA,PUBLICA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,FUNZA,ESP,1,,PENDIENTE CLASIFICAR,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,FUNZA,ESP,1,,PENDIENTE CLASIFICAR,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,NEMOCON,ESP,6,IED ALFONSO LOPEZ PUMAREJO,PUBLICA,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,NEMOCON,ESP,6,IED ALFONSO LOPEZ PUMAREJO,PUBLICA,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO SUR,TOLIMA,IBAGUE,2,1,MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL,PUBLICA,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,GUATAQUI,ESP,6,,PENDIENTE CLASIFICAR,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CARIBE,MAGDALENA,FUNDACION,2,6,CONSTRUOBRAS FERROCIVILES S AS,PRIVADA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,SABANETA,ESP,1,COOPSANA IPS,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,ATLANTICO,SANTA LUCIA,1,6,ALCALDIA DE SANTA LUCIA,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,ATLANTICO,SANTA LUCIA,1,6,ALCALDIA DE SANTA LUCIA,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,ATLANTICO,SANTA LUCIA,1,6,ALCALDIA DE SANTA LUCIA,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,ATLANTICO,SANTA LUCIA,1,6,ALCALDIA DE SANTA LUCIA,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,SANTANDER,BUCARAMANGA,2,1,MINISTERIO,PUBLICA,NO,19/02/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,ENVIGADO,ESP,1,LOGISTIC FREIGHT SOLUTIONS SAS,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN PACÍFICO,VALLE DEL CAUCA,PRADERA,ESP,6,MINISSTERIO DEL TRABAJO,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,VIGIA DEL FUERTE,ESP,6,ALCALDIA,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CARIBE,ATLANTICO,SOLEDAD,1,2,UNIVERSIDAD DE LA COSTACUC,PRIVADA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,NORTE DE SANTANDER,OCAÑA,2,4,COLEGIO ENRIQUE PARDO FARELO EL CARMEN,PRIVADA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN PACÍFICO,NARIÑO,PROVIDENCIA,1,6,ICBF,PUBLICA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN PACÍFICO,CAUCA,POPAYAN,3,2,UAESPE,PRIVADA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN EJE CAFETERO,ANTIOQUIA,BELLO,ESP,1,EMPLEAMOS TEMPORALES SAS,PRIVADA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,SOPO,ESP,3,INSTITUCION EDUCATIVA DEPARTAMENTAL GONZALO JIMENEZ DE QUEZADA,PUBLICA,NO,19/02/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,PACHO,ESP,6,ALCALDIA MUNICIPAL DE PACHO,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,PACHO,ESP,6,ALCALDIA MUNICIPAL DE PACHO,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,PACHO,ESP,6,ALCALDIA MUNICIPAL DE PACHO,PUBLICA,SI,21/01/2020,FEMENINO,1276529785,10000,31/12/2020
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,BOGOTA,BOGOTA,,,,,,,,,,
31/12/2020,REGIÓN CENTRO ORIENT,CUNDINAMARCA,SOACHA,ESP,1,MONCADA Y BARRERO,PRIVADA,SI,21/01/2020,MASCULINO,1276529785,10000,31/12/2020
